number,type,gu,area,room,lat,long
683,다가구,강북구,430.92,10,37.6440158,127.0417011
684,다가구,강북구,384.22,9,37.6456262,127.0401248
685,다가구,강북구,420.72,8,37.6378926,127.0235955
686,다가구,강북구,392.88,8,37.6378926,127.0235955
687,다가구,강북구,441.25,10,37.6434064,127.0173216
688,다가구,강북구,535.54,11,37.6526753,127.028263
689,다가구,강북구,596.42,13,37.6526753,127.028263
690,다가구,구로구,542.08,10,37.4961293,126.8598384
691,다가구,서대문구,574.07,12,37.5875354,126.9233455
692,다가구,서대문구,565.02,10,37.5875354,126.9233455
693,다가구,서대문구,547.89,10,37.5997107,126.9402029
694,다가구,서대문구,429.1,7,37.5997107,126.9402029
695,다가구,서대문구,476.34,12,37.5997107,126.9402029
696,다가구,서대문구,324.88,7,37.6087848,126.955144
697,다가구,양천구,439.32,8,37.5400168,126.8413455
698,다가구,구로구,567.54,11,37.5000673,126.8574058
699,다가구,구로구,587.13,11,37.5133301,126.8627968
700,다가구,금천구,431.54,10,37.4571606,126.915467
701,다가구,양천구,308.92,8,37.5360514,126.844158
702,다가구,도봉구,517.71,10,37.6756268,127.0377337
703,다가구,중랑구,336.49,8,37.6084196,127.0964033
704,다가구,마포구,332.04,9,37.5623338,126.9106398
705,다가구,은평구,508.03,10,37.5993878,126.9272406
706,다가구,은평구,404.16,8,37.5993878,126.9272406
707,다가구,강북구,470.56,10,37.65426,127.01705
708,다가구,강북구,597.22,12,37.6516091,127.0204304
709,다가구,강북구,544.67,11,37.6516091,127.0204304
710,다가구,강북구,478.39,10,37.6516091,127.0204304
711,다가구,강북구,370.28,8,37.6516091,127.0204304
712,다가구,강북구,529.28,10,37.6516091,127.0204304
713,다가구,강북구,592.68,12,37.6500299,127.0199437
714,다가구,강북구,377.93,7,37.6500299,127.0199437
715,다가구,강북구,595.49,11,37.6385828,127.0227644
716,다가구,강북구,354.27,8,37.6398136,127.0212102
717,다가구,강북구,542.82,11,37.6434064,127.0173216
718,다가구,강북구,496.76,10,37.6434064,127.0173216
719,다가구,강북구,598.7,12,37.6553141,127.0283364
720,다가구,강북구,588.74,15,37.62897,127.01986
721,다가구,영등포구,292.98,8,37.4973561,126.9100887
722,다가구,금천구,456.9,9,37.4655858,126.9104831
723,다가구,구로구,551.6,10,37.49994,126.83176
724,다가구,구로구,511.52,10,37.4969208,126.8597442
725,다가구,양천구,508.56,12,37.5381136,126.8355241
726,다가구,금천구,351.58,8,37.4677353,126.9153373
727,다가구,양천구,419.98,8,37.5492166,126.874998
728,다가구,도봉구,411.95,10,37.6465328,127.0484626
729,다가구,도봉구,527.73,10,37.6914459,127.0499293
730,다가구,광진구,221.04,6,37.5635581,127.1007073
731,다가구,서대문구,516.18,10,37.5987587,126.9413906
732,다가구,서대문구,575,12,37.5987587,126.9413906
733,다가구,서대문구,331.54,6,37.5987587,126.9413906
734,다가구,강북구,510.55,11,37.62897,127.01986
735,다가구,은평구,600.4,11,37.6241162,126.9114926
736,다가구,강북구,592.79,12,37.6516091,127.0204304
737,다가구,강북구,272.77,8,37.636452,127.0217088
738,다가구,강북구,361.54,8,37.62897,127.01986
